name,herotype,weapons,spells
bam,Bard,"Dagger, sling, club","Transmutation, Enchantment "
niem,Sorcerer,"light crossbow, battleaxe",Necromancy 
aem,Paladin,Greataxe,"Abjuration, Conjuration"
yaeks,Rogue,"club, battleaxe","Conjuration, Evocation, Transmutation"
jeeks,Druid,"Dagger, Greataxe","Evocation, Transmutation, Necromancy "
aez,Sorcerer,"club, light crossbow","Evocation, Enchantment "
sax,Bard,"light crossbow, battleaxe,  Dagger, sling, club",Necromancy 
eert,Bard,Greataxe,"Transmutation, Necromancy "
wuc,Sorcerer,"light crossbow, battleaxe",Necromancy 
yac,Sorcerer,Greataxe,"Conjuration, Evocation, Transmutation"
Jocelyn Churchill,Paladin,club,"Evocation, Enchantment "
Robert Perry,Rogue,"Dagger, sling, club","Abjuration, Conjuration"
Tim Carlton,Rogue,"light crossbow, sling",Necromancy 
Rolf Rylan,Paladin,"light crossbow, battleaxe",Necromancy 
Manfred Watsons,Rogue,Greataxe,"Evocation, Enchantment "
Kildrak Caebrek,Paladin,club,Necromancy 
Erias Silverstone,Rogue,"sling, light crossbow","Abjuration, Conjuration"
Baern Rakankrak,Druid,Dagger,"Conjuration, Evocation, Transmutation"
Traubon Durthane,Sorcerer,light crossbow,"Evocation, Transmutation, Necromancy "
Oskar Strakeln,Bard,sling,"Evocation, Enchantment "
Braak Presley,Paladin,"light crossbow, battleaxe,  Dagger, sling, club",Necromancy 
Odorr Spalding,Rogue,"light crossbow, battleaxe","Transmutation, Necromancy "
Dench Sydney,Druid,Greataxe,Necromancy 
Zed Ryley,Sorcerer,sling,Evocation
Ugarth Ainsley,Bard,club,Transmutation
Jantroph,Paladin,"light crossbow, battleaxe",Abjuration
Qualnus,Rogue,Dagger,Evocation
Orox,Druid,"sling, club",Abjuration
Irv,Sorcerer,light crossbow,Conjuration
Irv,Bard,Dagger,
